ticker,earnings_date,beat,return_5d,return_10d,return_20d,return_60d,volatility_20d,volatility_60d,volume_ratio,price_to_ma20,price_to_ma50,high_low_ratio_5d,price_before_earnings,prev_quarter_beat,beat_rate_4q,avg_surprise_4q,quarters_since_miss,market_return_20d,market_volatility,vix_level,quarter_1,quarter_2,quarter_3,quarter_4,month
AAPL,2025-10-30 16:00:00-04:00,1,0.043528729578492964,0.08165558657221061,0.0557839367967321,0.33060364526915653,0.01539205266281431,0.016913038471499414,1.1449607435083042,0.04868800373476212,0.09442313840990768,0.051935965862202726,269.4388122558594,1,1.0,4.2025,8,0.028334138764365413,0.008825960980224876,16.920000076293945,0,0,0,1,10
AAPL,2025-07-31 16:00:00-04:00,1,-0.023815055828441234,-0.0052816810460394326,0.005918589086060022,0.019352956421867074,0.008926490017459626,0.01418541394259042,0.9889202902542163,-0.012235412413545754,0.01781580666793725,0.03836900223493367,208.6107940673828,1,1.0,2.7624999999999997,8,0.027216019927909896,0.004179163286276552,15.479999542236328,0,0,1,0,7
AAPL,2025-05-01 16:00:00-04:00,1,0.038611844730348954,0.051251592335942675,-0.04789638675863084,-0.06699864240633224,0.0509802280034138,0.03211957609380079,0.665685958656085,0.06205660058012619,-0.02087357693609404,0.052429315248329056,211.7758331298828,1,1.0,2.8525,8,-0.011462334422277065,0.03405017884450577,24.700000762939453,0,1,0,0,5
AAPL,2025-01-30 16:00:00-05:00,1,0.06938310854771967,0.02606324308515906,-0.06350011664216881,,0.01936143428373257,,0.813270915830686,0.014071895589324201,-0.0019205567528058909,0.08482005449961938,238.28231811523438,1,1.0,3.1100000000000003,7,,,16.559999465942383,1,0,0,0,1
AAPL,2024-10-31 16:00:00-04:00,1,-0.002860134806428216,-0.0072482324306960555,0.014639749516174083,0.11164568699318567,0.011854762658215138,0.012473227333471826,1.2223028217464988,-0.00225264714167539,0.012871056669598646,0.02766943480935713,228.812255859375,1,1.0,3.7225,6,0.01960076125763699,0.0056105894071004575,20.350000381469727,0,0,0,1,10
AAPL,2024-08-01 16:00:00-04:00,1,0.01619845267882214,-0.02970992751711732,0.00821712188783108,0.21267975695151375,0.014642177492181486,0.01588297842377742,0.9672114463364303,-0.01388714989186457,0.05000979100169256,0.04286654069345697,220.5818328857422,1,1.0,4.0475,5,0.003278709309471939,0.009387164211831106,16.360000610351562,0,0,1,0,8
AAPL,2024-05-02 16:00:00-04:00,1,0.001656827244996828,0.00773814685355978,-0.002062980245225443,-0.09678142894332276,0.015488532457635821,0.013198761300545727,0.8737467651637892,-0.0017922937649156312,-0.019085142508599606,0.046862983044014817,167.9301300048828,1,1.0,5.1275,4,-0.036695334765657894,0.008645573122512979,15.390000343322754,0,1,0,0,5
AAPL,2024-02-01 16:00:00-05:00,1,-0.051927943286944056,0.009415512117131541,-0.006679647333206473,0.039831893621800285,0.01336629933444036,0.011523873224359134,1.0039401735073625,-0.018253303208983218,-0.03363916497972419,0.06465953698346905,182.67483520507812,1,0.75,3.295,3,0.021643947568094513,0.007061846632950103,14.350000381469727,1,0,0,0,2
AAPL,2023-11-02 16:00:00-04:00,1,0.01677358931068018,-0.010634665310998104,0.0017850431167087955,-0.031118394668019467,0.010924000834641663,0.012896942088058257,1.059281149916035,-0.0049959523551516005,-0.015190246258756313,0.051668844430518224,172.1156463623047,1,0.75,2.4225000000000003,2,-0.004709671666449089,0.008972171212845865,16.8700008392334,0,0,0,1,11
AAPL,2023-08-03 16:00:00-04:00,1,-0.009871620967614514,-0.012916451056054656,0.006533010693198893,0.11105797683321716,0.008290986784764814,0.008748172453828381,1.004471345008606,-0.0002674319497170119,0.03238566825377598,0.027886488001858556,190.2703399658203,1,0.75,1.9900000000000002,1,0.01579658398773498,0.006150332972060542,16.09000015258789,0,0,1,0,8
AAPL,2023-05-04 16:00:00-04:00,1,0.02253321287917598,-0.001073802296196913,0.010988323517339138,0.10528997874028923,0.012397261182838829,0.013115897166280347,1.2616452465313037,0.011889489874349568,0.05367615832111827,0.0346874545713336,165.21322631835938,0,0.75,2.0175,0,-0.0015907325031032649,0.007882422145060724,18.34000015258789,0,1,0,0,5
